name,type,expr,t_ref,reason,our_count
P131,pun,b*!c+!b*c+!a*c+d,6,suboptimal,10
P134,pdn,a*b*!c+!b*c+!a*c+!a*!b+d,8,suboptimal,9
P135,pun,a*b*!c+!b*c+!a*c+d,7,suboptimal,10
P136,pdn,d+!b+!a,3,suboptimal,8
P137,pun,!b*c+a*!b+!a*b+d,6,suboptimal,7
P139,pun,!b*c+!a*b+d,5,suboptimal,6
P142,pun,!b*c+!a*c+!a*!b+d,6,suboptimal,7
P151,pdn,a*b*!c+a*!b*c+!a*b*c+d,8,suboptimal,13
P151,pun,a*b*!c+a*!b*c+!a*b*c+d,8,suboptimal,10
P152,pun,!b*!c+a*!b+!a*b+d,6,suboptimal,7
P153,pdn,a*!b+!a*b+d,5,suboptimal,6
P153,pun,a*!b+!a*b+d,5,suboptimal,7
P154,pun,a*!b*c+!a*!c+!a*b+d,7,suboptimal,11
P155,pun,a*!b*c+!a*b+d,6,suboptimal,8
P158,pun,!a*!b*!c+a*!b*c+!a*b*c+d,8,suboptimal,17
P169,pun,a*!b*!c+!a*c+!a*b+d,7,suboptimal,11
P170,pdn,d+!a,2,suboptimal,7
P170,pun,d+!a,2,suboptimal,5
P172,pun,!b*!c+!a*c+d,5,suboptimal,9
P173,pun,a*!b*!c+!a*c+d,6,suboptimal,9
P188,pdn,!a*b*c+!b*!c+d,6,suboptimal,8
P188,pun,!a*b*c+!b*!c+d,6,suboptimal,11
P189,pun,a*!b*!c+!a*b*c+d,7,suboptimal,8
P190,pdn,!a*!b*!c+!a*b*c+d,6,suboptimal,8
P190,pun,!a*!b*!c+!a*b*c+d,6,suboptimal,9
P191,pun,!a*b*c+d,4,suboptimal,5
P233,pun,a*!b*!c+!a*b*!c+!a*!b*c+d,8,suboptimal,15
P238,pdn,!a*!b+d,3,suboptimal,5
P238,pun,!a*!b+d,3,suboptimal,4
P255,pdn,d,1,failed,
P255,pun,d,1,suboptimal,5
P278,pdn,!a*!b*!c*!d+c*d+b*d+a*d+b*c+a*c+a*b,10,suboptimal,19
P279,pdn,c*d+b*d+a*d+b*c+a*c+a*b,8,suboptimal,9
P279,pun,c*d+b*d+a*d+b*c+a*c+a*b,8,suboptimal,11
P280,pdn,!b*!c*!d+c*d+a*d+a*c+!a*b,9,suboptimal,12
P281,pdn,c*d+b*d+b*c+a*!b+!a*b,7,suboptimal,8
P281,pun,c*d+b*d+b*c+a*!b+!a*b,7,suboptimal,9
P282,pdn,!a*!c*!d+c*d+a*d+a*c+!a*b,8,suboptimal,9
P283,pdn,c*d+a*d+a*c+!a*b,6,suboptimal,8
P283,pun,c*d+a*d+a*c+!a*b,6,suboptimal,9
P286,pdn,!a*!b*!c*!d+c*d+b*d+a*d+b*c+a*c,9,suboptimal,10
P286,pun,!a*!b*!c*!d+c*d+b*d+a*d+b*c+a*c,9,suboptimal,14
P287,pdn,c*d+b*d+a*d+b*c+a*c,6,suboptimal,7
P287,pun,c*d+b*d+a*d+b*c+a*c,6,suboptimal,7
P296,pdn,!b*!c*!d+a*d+b*c+!a*c+!a*b,9,suboptimal,11
P296,pun,!b*!c*!d+a*d+b*c+!a*c+!a*b,9,suboptimal,13
P297,pdn,a*!b*!c+a*d+b*c+!a*c+!a*b,8,suboptimal,9
P297,pun,a*!b*!c+a*d+b*c+!a*c+!a*b,8,suboptimal,11
P298,pdn,!a*!d+c*d+b*d+a*d+b*c,7,suboptimal,8
P298,pun,!a*!d+c*d+b*d+a*d+b*c,7,suboptimal,10
P299,pdn,a*d+b*c+!a*c+!a*b,6,suboptimal,7
P299,pun,a*d+b*c+!a*c+!a*b,6,suboptimal,8
P300,pdn,!b*!c*!d+b*d+a*d+b*c+!a*c,8,suboptimal,9
P300,pun,!b*!c*!d+b*d+a*d+b*c+!a*c,8,suboptimal,11
P301,pdn,a*!b*!c+c*d+b*d+b*c+!a*c,7,suboptimal,9
P301,pun,a*!b*!c+c*d+b*d+b*c+!a*c,7,suboptimal,10
P302,pdn,!a*!b*!d+c*d+b*d+a*d+b*c,7,suboptimal,9
P302,pun,!a*!b*!d+c*d+b*d+a*d+b*c,7,suboptimal,10
P303,pdn,b*d+a*d+b*c+!a*c,5,suboptimal,6
P316,pdn,!b*!c*!d+c*d+b*d+a*d+b*c,8,suboptimal,9
P316,pun,!b*!c*!d+c*d+b*d+a*d+b*c,8,suboptimal,11
P317,pdn,a*!b*!c+c*d+b*d+b*c,7,suboptimal,9
P317,pun,a*!b*!c+c*d+b*d+b*c,7,suboptimal,9
P318,pdn,!a*!b*!c*!d+c*d+b*d+a*d+b*c,9,suboptimal,10
P318,pun,!a*!b*!c*!d+c*d+b*d+a*d+b*c,9,suboptimal,12
P360,pdn,!b*!c*!d+!a*b*!c+!a*!b*c+a*b*c+c*d+a*d,10,suboptimal,17
P360,pun,!b*!c*!d+!a*b*!c+!a*!b*c+a*b*c+c*d+a*d,10,suboptimal,11
P361,pdn,a*!b*!c+!a*b*!c+!a*!b*c+a*b*c+c*d+a*d,9,suboptimal,11
P361,pun,a*!b*!c+!a*b*!c+!a*!b*c+a*b*c+c*d+a*d,9,suboptimal,12
P362,pdn,!a*!c*!d+!a*!b*c+a*b*c+b*d+a*d,9,suboptimal,11
P362,pun,!a*!c*!d+!a*!b*c+a*b*c+b*d+a*d,9,suboptimal,10
P363,pdn,!a*b*!c+!a*!b*c+a*b*c+c*d+a*d,9,suboptimal,11
P366,pdn,!a*!b*!d+a*b*c+c*d+b*d+a*d,8,suboptimal,13
P366,pun,!a*!b*!d+a*b*c+c*d+b*d+a*d,8,suboptimal,14
P367,pdn,!a*!b*c+a*b*c+b*d+a*d,7,suboptimal,9
P367,pun,!a*!b*c+a*b*c+b*d+a*d,7,suboptimal,8
P382,pdn,!a*!b*!c*!d+a*b*c+c*d+b*d+a*d,9,suboptimal,18
P382,pun,!a*!b*!c*!d+a*b*c+c*d+b*d+a*d,9,suboptimal,10
P385,pdn,c*d+a*!c+!b*c+!a*b,7,suboptimal,8
P385,pun,c*d+a*!c+!b*c+!a*b,7,suboptimal,9
P386,pun,!a*!d+c*d+a*d+b*!c+!b*c,9,suboptimal,12
P387,pdn,a*d+b*!c+!b*c+!a*c,7,suboptimal,8
P387,pun,a*d+b*!c+!b*c+!a*c,7,suboptimal,10
P390,pdn,!a*!b*!d+a*b*!c+b*d+a*d+!b*c+!a*c,10,suboptimal,12
P390,pun,!a*!b*!d+a*b*!c+b*d+a*d+!b*c+!a*c,10,suboptimal,11
P391,pdn,a*b*!c+b*d+a*d+!b*c+!a*c,9,suboptimal,11
P391,pun,a*b*!c+b*d+a*d+!b*c+!a*c,9,suboptimal,11
P392,pdn,!b*!d+c*d+a*d+!a*b,7,suboptimal,8
P393,pun,b*d+!b*c+a*!b+!a*b,6,suboptimal,7
P394,pun,!a*!d+b*d+a*d+!b*c,7,suboptimal,11
P395,pun,a*d+!b*c+!a*b,6,suboptimal,8
P398,pdn,!a*!b*!d+b*d+a*d+!b*c+!a*c,9,suboptimal,13
P398,pun,!a*!b*!d+b*d+a*d+!b*c+!a*c,9,suboptimal,10
P399,pdn,b*d+a*d+!b*c+!a*c,6,suboptimal,8
P399,pun,b*d+a*d+!b*c+!a*c,6,suboptimal,8
P406,pdn,!a*!b*!c*!d+a*b*!c+a*!b*c+!a*b*c+c*d+b*d+a*d,11,failed,
P406,pun,!a*!b*!c*!d+a*b*!c+a*!b*c+!a*b*c+c*d+b*d+a*d,11,suboptimal,12
P407,pdn,a*b*!c+a*!b*c+!a*b*c+c*d+b*d+a*d,9,suboptimal,15
P407,pun,a*b*!c+a*!b*c+!a*b*c+c*d+b*d+a*d,9,suboptimal,13
P408,pdn,!b*!c*!d+c*d+b*d+a*!b+!a*b,8,suboptimal,9
P409,pun,c*d+b*d+a*!b+!a*b,7,suboptimal,8
P410,pdn,!a*!c*!d+a*!b*c+c*d+a*d+!a*b,9,suboptimal,15
P411,pdn,a*!b*c+c*d+a*d+!a*b,7,suboptimal,8
P411,pun,a*!b*c+c*d+a*d+!a*b,7,suboptimal,11
P414,pdn,!a*!b*!c*!d+a*!b*c+!a*b*c+c*d+b*d+a*d,10,suboptimal,19
P414,pun,!a*!b*!c*!d+a*!b*c+!a*b*c+c*d+b*d+a*d,10,failed,
P415,pdn,a*!b*c+!a*b*c+c*d+b*d+a*d,8,suboptimal,9
P415,pun,a*!b*c+!a*b*c+c*d+b*d+a*d,8,suboptimal,12
P424,pdn,!b*!c*!d+a*d+!a*c+!a*b,8,suboptimal,10
P424,pun,!b*!c*!d+a*d+!a*c+!a*b,8,suboptimal,10
P425,pdn,a*!b*!c+a*d+!a*c+!a*b,7,suboptimal,9
P425,pun,a*!b*!c+a*d+!a*c+!a*b,7,suboptimal,10
P426,pun,!a*!d+c*d+b*d+a*d,6,suboptimal,7
P428,pdn,!b*!c*!d+b*d+a*d+!a*c,8,suboptimal,10
P428,pun,!b*!c*!d+b*d+a*d+!a*c,8,suboptimal,10
P429,pdn,a*!b*!c+c*d+b*d+!a*c,7,suboptimal,8
P429,pun,a*!b*!c+c*d+b*d+!a*c,7,suboptimal,8
P430,pdn,!a*!b*!d+b*d+a*d+!a*c,7,suboptimal,9
P430,pun,!a*!b*!d+b*d+a*d+!a*c,7,suboptimal,15
P444,pdn,!b*!c*!d+!a*b*c+c*d+b*d+a*d,9,suboptimal,14
P445,pdn,a*!b*!c+!a*b*c+c*d+b*d,8,suboptimal,11
P445,pun,a*!b*!c+!a*b*c+c*d+b*d,8,suboptimal,9
P446,pdn,!a*!b*!c*!d+!a*b*c+c*d+b*d+a*d,9,suboptimal,10
P488,pdn,!b*!c*!d+!a*b*!c+!a*!b*c+c*d+a*d,9,suboptimal,11
P488,pun,!b*!c*!d+!a*b*!c+!a*!b*c+c*d+a*d,9,suboptimal,10
P489,pdn,a*!b*!c+!a*b*!c+!a*!b*c+c*d+a*d,8,suboptimal,14
P489,pun,a*!b*!c+!a*b*!c+!a*!b*c+c*d+a*d,8,suboptimal,11
P490,pdn,!a*!c*!d+!a*!b*c+b*d+a*d,8,suboptimal,10
P491,pdn,!a*b*!c+!a*!b*c+c*d+a*d,7,suboptimal,15
P491,pun,!a*b*!c+!a*!b*c+c*d+a*d,7,suboptimal,9
P552,pdn,!b*!c*!d+c*d+b*d+b*c+!a,8,suboptimal,10
P553,pdn,a*!b*!c*!d+c*d+b*d+!a*d+b*c+!a*c+!a*b,10,suboptimal,17
P553,pun,a*!b*!c*!d+c*d+b*d+!a*d+b*c+!a*c+!a*b,10,suboptimal,11
P555,pdn,c*d+b*d+!a*d+b*c+!a*c+!a*b,8,suboptimal,11
P555,pun,c*d+b*d+!a*d+b*c+!a*c+!a*b,8,suboptimal,10
P556,pdn,!b*!c*!d+c*d+b*d+b*c+!a*!b,8,suboptimal,9
P557,pdn,a*!b*!c*!d+c*d+b*d+!a*d+b*c+!a*c,9,suboptimal,15
P558,pdn,c*d+b*d+b*c+!a*!b,6,suboptimal,7
P558,pun,c*d+b*d+b*c+!a*!b,6,suboptimal,7
P559,pun,c*d+b*d+!a*d+b*c+!a*c,6,suboptimal,9
P572,pdn,!b*!c*!d+c*d+b*d+!a*d+b*c,8,suboptimal,12
P573,pdn,a*!b*!c*!d+c*d+b*d+!a*d+b*c,9,suboptimal,10
P573,pun,a*!b*!c*!d+c*d+b*d+!a*d+b*c,9,suboptimal,12
P574,pdn,!a*!b*!c+c*d+b*d+b*c,7,suboptimal,9
P574,pun,!a*!b*!c+c*d+b*d+b*c,7,suboptimal,9
P575,pun,c*d+b*d+!a*d+b*c,6,suboptimal,7
P577,pun,a*!d+c*d+!a*d+b*!c+!b*c,9,suboptimal,10
P578,pdn,c*d+!a*!c+!b*c+a*b,7,suboptimal,8
P578,pun,c*d+!a*!c+!b*c+a*b,7,suboptimal,9
P579,pun,!a*d+b*!c+!b*c+a*c,7,suboptimal,9
P582,pdn,b*d+!b*c+!a*!b+a*b,6,suboptimal,7
P582,pun,b*d+!b*c+!a*!b+a*b,6,suboptimal,7
P583,pun,!a*d+!b*c+a*b,6,suboptimal,7
P584,pun,!b*!d+c*d+b*d+!a*!c+a*c,9,suboptimal,10
P585,pdn,a*!b*!d+!a*b*!c+b*d+!a*d+!b*c+a*c,10,suboptimal,13
P585,pun,a*!b*!d+!a*b*!c+b*d+!a*d+!b*c+a*c,10,suboptimal,11
P586,pdn,b*d+!a*!c+!b*c+a*c,7,suboptimal,8
P586,pun,b*d+!a*!c+!b*c+a*c,7,suboptimal,8
P587,pdn,!a*b*!c+b*d+!a*d+!b*c+a*c,9,suboptimal,12
P587,pun,!a*b*!c+b*d+!a*d+!b*c+a*c,9,suboptimal,17
P590,pun,b*d+a*c+!a*!b,6,suboptimal,7
P591,pdn,b*d+!a*d+!b*c+a*c,6,suboptimal,9
P591,pun,b*d+!a*d+!b*c+a*c,6,suboptimal,7
P596,pdn,!b*!c*!d+!a*d+a*c+a*b,8,suboptimal,10
P596,pun,!b*!c*!d+!a*d+a*c+a*b,8,suboptimal,9
P598,pdn,!a*!b*!c+!a*d+a*c+a*b,7,suboptimal,9
P598,pun,!a*!b*!c+!a*d+a*c+a*b,7,suboptimal,8
P600,pdn,a*!b*!d+c*d+b*d+!a*!c+a*c,8,suboptimal,9
P600,pun,a*!b*!d+c*d+b*d+!a*!c+a*c,8,suboptimal,9
P601,pdn,a*!b*!d+!a*b*!c+b*d+!a*d+a*c,9,suboptimal,10
P601,pun,a*!b*!d+!a*b*!c+b*d+!a*d+a*c,9,suboptimal,10
P603,pdn,!a*b*!c+b*d+!a*d+a*c,7,suboptimal,8
P603,pun,!a*b*!c+b*d+!a*d+a*c,7,suboptimal,9
P604,pdn,!b*!c*!d+b*d+!a*d+a*c,8,suboptimal,9
P604,pun,!b*!c*!d+b*d+!a*d+a*c,8,suboptimal,10
P605,pdn,a*!b*!d+b*d+!a*d+a*c,7,suboptimal,8
P605,pun,a*!b*!d+b*d+!a*d+a*c,7,suboptimal,10
P606,pdn,!a*!b*!c+c*d+b*d+a*c,7,suboptimal,8
P606,pun,!a*!b*!c+c*d+b*d+a*c,7,suboptimal,8
P616,pdn,!b*!c*!d+a*b*c+c*d+b*d+!a*!c+!a*!b,10,suboptimal,17
P616,pun,!b*!c*!d+a*b*c+c*d+b*d+!a*!c+!a*!b,10,suboptimal,11
P617,pdn,a*!b*!c*!d+!a*b*!c+!a*!b*c+a*b*c+c*d+b*d+!a*d,11,suboptimal,15
P617,pun,a*!b*!c*!d+!a*b*!c+!a*!b*c+a*b*c+c*d+b*d+!a*d,11,suboptimal,13
P618,pun,a*b*c+c*d+b*d+!a*!c+!a*!b,9,suboptimal,10
P619,pdn,!a*b*!c+!a*!b*c+a*b*c+c*d+b*d+!a*d,9,suboptimal,14
P619,pun,!a*b*!c+!a*!b*c+a*b*c+c*d+b*d+!a*d,9,suboptimal,12
P620,pdn,!b*!c*!d+a*b*c+c*d+b*d+!a*!b,9,suboptimal,15
P621,pdn,a*!b*!c*!d+!a*!b*c+a*b*c+c*d+b*d+!a*d,10,suboptimal,19
P621,pun,a*!b*!c*!d+!a*!b*c+a*b*c+c*d+b*d+!a*d,10,suboptimal,13
P622,pdn,a*b*c+c*d+b*d+!a*!b,7,suboptimal,10
P622,pun,a*b*c+c*d+b*d+!a*!b,7,suboptimal,9
P623,pdn,!a*!b*c+a*b*c+c*d+b*d+!a*d,8,suboptimal,10
P623,pun,!a*!b*c+a*b*c+c*d+b*d+!a*d,8,suboptimal,11
P636,pdn,!b*!c*!d+a*b*c+c*d+b*d+!a*d,9,suboptimal,10
P636,pun,!b*!c*!d+a*b*c+c*d+b*d+!a*d,9,suboptimal,10
P637,pdn,a*!b*!c*!d+a*b*c+c*d+b*d+!a*d,9,suboptimal,19
P637,pun,a*!b*!c*!d+a*b*c+c*d+b*d+!a*d,9,suboptimal,12
P638,pdn,!a*!b*!c+a*b*c+c*d+b*d,8,suboptimal,10
P638,pun,!a*!b*!c+a*b*c+c*d+b*d,8,suboptimal,9
P641,pdn,a*!c*!d+b*d+!a*d+!b*c+!a*b,9,suboptimal,11
P641,pun,a*!c*!d+b*d+!a*d+!b*c+!a*b,9,suboptimal,10
P643,pdn,c*d+!a*d+b*!c+!b*c+!a*c,7,suboptimal,9
P643,pun,c*d+!a*d+b*!c+!b*c+!a*c,7,suboptimal,9
P644,pdn,a*!c*!d+b*d+!b*c+!a*c+!a*!b,9,suboptimal,11
P645,pdn,a*!c*!d+b*d+!a*d+!b*c+!a*c,8,suboptimal,10
P645,pun,a*!c*!d+b*d+!a*d+!b*c+!a*c,8,suboptimal,9
P646,pdn,a*b*!c+b*d+!b*c+!a*c+!a*!b,8,suboptimal,13
P646,pun,a*b*!c+b*d+!b*c+!a*c+!a*!b,8,suboptimal,11
P647,pdn,a*b*!c+c*d+!a*d+!b*c+!a*c,7,suboptimal,9
P647,pun,a*b*!c+c*d+!a*d+!b*c+!a*c,7,suboptimal,13
P649,pdn,a*!b*!d+b*d+!a*d+!b*c+!a*b,8,suboptimal,9
P649,pun,a*!b*!d+b*d+!a*d+!b*c+!a*b,8,suboptimal,9
P650,pun,b*d+!b*c+!a,5,suboptimal,6
P651,pdn,b*d+!a*d+!b*c+!a*b,6,suboptimal,8
P651,pun,b*d+!a*d+!b*c+!a*b,6,suboptimal,7
P652,pdn,!b*!d+c*d+b*d+!a*d+!a*c,7,suboptimal,10
P652,pun,!b*!d+c*d+b*d+!a*d+!a*c,7,suboptimal,8
P653,pdn,a*!b*!d+c*d+b*d+!a*d+!a*c,7,suboptimal,9
P653,pun,a*!b*!d+c*d+b*d+!a*d+!a*c,7,suboptimal,8
P654,pdn,b*d+!b*c+!a*c+!a*!b,6,suboptimal,7
P654,pun,b*d+!b*c+!a*c+!a*!b,6,suboptimal,7
P655,pdn,b*d+!a*d+!b*c+!a*c,5,suboptimal,7
P655,pun,b*d+!a*d+!b*c+!a*c,5,suboptimal,6
P660,pdn,!b*!c*!d+a*b*!c+a*!b*c+!a*b*c+c*d+!a*d,10,suboptimal,15
P660,pun,!b*!c*!d+a*b*!c+a*!b*c+!a*b*c+c*d+!a*d,10,suboptimal,13
P661,pdn,a*!c*!d+a*!b*c+!a*b*c+b*d+!a*d,9,suboptimal,13
P661,pun,a*!c*!d+a*!b*c+!a*b*c+b*d+!a*d,9,suboptimal,10
P662,pdn,!a*!b*!c+a*b*!c+a*!b*c+!a*b*c+c*d+!a*d,9,suboptimal,15
P662,pun,!a*!b*!c+a*b*!c+a*!b*c+!a*b*c+c*d+!a*d,9,suboptimal,15
P663,pdn,a*b*!c+a*!b*c+!a*b*c+c*d+!a*d,9,suboptimal,12
P664,pdn,a*!b*!d+c*d+b*d+!a*!c+!a*b,8,suboptimal,10
P664,pun,a*!b*!d+c*d+b*d+!a*!c+!a*b,8,suboptimal,9
P665,pdn,a*!b*!d+c*d+b*d+!a*d+!a*b,8,suboptimal,13
P666,pdn,a*!b*c+c*d+b*d+!a*!c+!a*b,7,suboptimal,9
P666,pun,a*!b*c+c*d+b*d+!a*!c+!a*b,7,suboptimal,10
P667,pdn,a*!b*c+b*d+!a*d+!a*b,7,suboptimal,8
P668,pdn,!b*!c*!d+a*!b*c+!a*b*c+b*d+!a*d,9,suboptimal,13
P668,pun,!b*!c*!d+a*!b*c+!a*b*c+b*d+!a*d,9,suboptimal,13
P669,pdn,a*!b*!d+!a*b*c+c*d+b*d+!a*d,8,suboptimal,14
P669,pun,a*!b*!d+!a*b*c+c*d+b*d+!a*d,8,suboptimal,12
P670,pdn,!a*!b*!c+a*!b*c+!a*b*c+c*d+b*d,9,suboptimal,11
P670,pun,!a*!b*!c+a*!b*c+!a*b*c+c*d+b*d,9,suboptimal,13
P671,pdn,a*!b*c+!a*b*c+b*d+!a*d,7,suboptimal,8
P671,pun,a*!b*c+!a*b*c+b*d+!a*d,7,suboptimal,9
P681,pdn,a*!b*!c*!d+c*d+b*d+!a*d+!a*c+!a*b,9,suboptimal,18
P681,pun,a*!b*!c*!d+c*d+b*d+!a*d+!a*c+!a*b,9,suboptimal,10
P683,pdn,c*d+b*d+!a*d+!a*c+!a*b,6,suboptimal,8
P683,pun,c*d+b*d+!a*d+!a*c+!a*b,6,suboptimal,8
P684,pdn,!b*!c*!d+c*d+b*d+!a*d+!a*c,7,suboptimal,9
P684,pun,!b*!c*!d+c*d+b*d+!a*d+!a*c,7,suboptimal,8
P685,pdn,a*!b*!c*!d+c*d+b*d+!a*d+!a*c,9,suboptimal,12
P685,pun,a*!b*!c*!d+c*d+b*d+!a*d+!a*c,9,suboptimal,11
P686,pdn,c*d+b*d+!a*c+!a*!b,5,suboptimal,6
P686,pun,c*d+b*d+!a*c+!a*!b,5,suboptimal,6
P700,pdn,!b*!c*!d+!a*b*c+c*d+b*d+!a*d,8,suboptimal,15
P700,pun,!b*!c*!d+!a*b*c+c*d+b*d+!a*d,8,suboptimal,10
P701,pdn,a*!b*!c*!d+!a*b*c+c*d+b*d+!a*d,9,suboptimal,12
P701,pun,a*!b*!c*!d+!a*b*c+c*d+b*d+!a*d,9,suboptimal,10
P702,pdn,!a*!b*!c+!a*b*c+c*d+b*d,7,suboptimal,9
P704,pdn,!c*!d+b*d+!a*d+!b*c,7,suboptimal,9
P705,pdn,a*!c*!d+c*d+!a*d+b*!c+!b*c,8,suboptimal,9
P705,pun,a*!c*!d+c*d+!a*d+b*!c+!b*c,8,suboptimal,11
P706,pdn,c*d+b*!c+!a*!c+!b*c,6,suboptimal,8
P706,pun,c*d+b*!c+!a*!c+!b*c,6,suboptimal,8
P708,pdn,a*!c*!d+b*d+!b*c+!a*!b,8,suboptimal,9
P708,pun,a*!c*!d+b*d+!b*c+!a*!b,8,suboptimal,9
P709,pun,a*!c*!d+b*d+!a*d+!b*c,8,suboptimal,10
P710,pdn,a*b*!c+b*d+!b*c+!a*!b,7,suboptimal,10
P710,pun,a*b*!c+b*d+!b*c+!a*!b,7,suboptimal,10
P711,pdn,a*b*!c+c*d+!a*d+!b*c,7,suboptimal,9
P711,pun,a*b*!c+c*d+!a*d+!b*c,7,suboptimal,8
P712,pdn,!b*!d+c*d+b*d+!a*!c,7,suboptimal,11
P712,pun,!b*!d+c*d+b*d+!a*!c,7,suboptimal,8
P713,pdn,a*!b*!d+!a*b*!c+b*d+!a*d+!b*c,9,suboptimal,10
P713,pun,a*!b*!d+!a*b*!c+b*d+!a*d+!b*c,9,suboptimal,11
P714,pdn,b*d+!a*!c+!b*c,6,suboptimal,7
P714,pun,b*d+!a*!c+!b*c,6,suboptimal,7
P715,pdn,!a*b*!c+b*d+!a*d+!b*c,7,suboptimal,8
P715,pun,!a*b*!c+b*d+!a*d+!b*c,7,suboptimal,11
P716,pdn,!b*!d+c*d+b*d+!a*d,6,suboptimal,7
P716,pun,!b*!d+c*d+b*d+!a*d,6,suboptimal,8
P717,pdn,a*!b*!d+b*d+!a*d+!b*c,7,suboptimal,8
P717,pun,a*!b*!d+b*d+!a*d+!b*c,7,suboptimal,10
P718,pdn,b*d+!b*c+!a*!b,5,suboptimal,6
P718,pun,b*d+!b*c+!a*!b,5,suboptimal,7
P719,pun,b*d+!a*d+!b*c,5,suboptimal,6
P724,pdn,!b*!c*!d+a*b*!c+a*!b*c+c*d+!a*d,9,suboptimal,12
P724,pun,!b*!c*!d+a*b*!c+a*!b*c+c*d+!a*d,9,suboptimal,10
P725,pdn,a*!c*!d+a*!b*c+b*d+!a*d,8,suboptimal,11
P725,pun,a*!c*!d+a*!b*c+b*d+!a*d,8,suboptimal,10
P726,pdn,!a*!b*!c+a*b*!c+a*!b*c+c*d+!a*d,8,suboptimal,14
P726,pun,!a*!b*!c+a*b*!c+a*!b*c+c*d+!a*d,8,suboptimal,13
P727,pdn,a*b*!c+a*!b*c+c*d+!a*d,7,suboptimal,10
P728,pdn,a*!b*!d+c*d+b*d+!a*!c,8,suboptimal,9
P729,pdn,a*!b*!d+!a*b*!c+c*d+b*d+!a*d,9,suboptimal,18
P729,pun,a*!b*!d+!a*b*!c+c*d+b*d+!a*d,9,suboptimal,13
P730,pdn,a*!b*c+c*d+b*d+!a*!c,7,suboptimal,8
P731,pdn,!a*b*!c+a*!b*c+b*d+!a*d,8,suboptimal,12
P731,pun,!a*b*!c+a*!b*c+b*d+!a*d,8,suboptimal,9
P732,pdn,!b*!c*!d+a*!b*c+b*d+!a*d,8,suboptimal,11
P734,pdn,!a*!b*!c+a*!b*c+c*d+b*d,7,suboptimal,10
P734,pun,!a*!b*!c+a*!b*c+c*d+b*d,7,suboptimal,9
P735,pdn,a*!b*c+b*d+!a*d,6,suboptimal,7
P735,pun,a*!b*c+b*d+!a*d,6,suboptimal,7
P744,pun,!b*!c*!d+c*d+b*d+!a*!c+!a*!b,9,suboptimal,10
P745,pdn,a*!b*!c*!d+!a*b*!c+!a*!b*c+c*d+b*d+!a*d,10,suboptimal,17
P745,pun,a*!b*!c*!d+!a*b*!c+!a*!b*c+c*d+b*d+!a*d,10,suboptimal,20
P747,pdn,!a*b*!c+!a*!b*c+c*d+b*d+!a*d,8,suboptimal,9
P747,pun,!a*b*!c+!a*!b*c+c*d+b*d+!a*d,8,suboptimal,10
P748,pdn,!b*!c*!d+c*d+b*d+!a*!b,7,suboptimal,8
P749,pdn,a*!b*!c*!d+!a*!b*c+c*d+b*d+!a*d,9,suboptimal,19
P751,pun,!a*!b*c+c*d+b*d+!a*d,7,suboptimal,8
P764,pun,!b*!c*!d+c*d+b*d+!a*d,7,suboptimal,9
P765,pun,a*!b*!c*!d+c*d+b*d+!a*d,8,suboptimal,14
P766,pdn,!a*!b*!c+c*d+b*d,6,suboptimal,7
P766,pun,!a*!b*!c+c*d+b*d,6,suboptimal,7
P828,pdn,!b*!c*!d+c*d+b*d+b*c,7,failed,
