 P1(4): d+c+b+a
 P297(7): a*!b*!c+a*d+b*c+!a*c+!a*b
 P298(6): !a*!d+c*d+b*d+a*d+b*c
 P299(5): a*d+b*c+!a*c+!a*b
 P300(8): !b*!c*!d+b*d+a*d+b*c+!a*c
 P301(7): a*!b*!c+c*d+b*d+b*c+!a*c
 P302(7): !a*!b*!d+c*d+b*d+a*d+b*c
 P303(5): b*d+a*d+b*c+!a*c
 P316(7): !b*!c*!d+c*d+b*d+a*d+b*c
 P317(6): a*!b*!c+c*d+b*d+b*c
 P318(8): !a*!b*!c*!d+c*d+b*d+a*d+b*c
 P319(4): c*d+b*d+a*d+b*c
 P360(8): !b*!c*!d+!a*b*!c+!a*!b*c+a*b*c+c*d+a*d
 P361(7): a*!b*!c+!a*b*!c+!a*!b*c+a*b*c+c*d+a*d
 P362(8): !a*!c*!d+!a*!b*c+a*b*c+b*d+a*d
 P363(7): !a*b*!c+!a*!b*c+a*b*c+c*d+a*d
 P366(7): !a*!b*!d+a*b*c+c*d+b*d+a*d
 P367(6): !a*!b*c+a*b*c+b*d+a*d
 P382(8): !a*!b*!c*!d+a*b*c+c*d+b*d+a*d
 P383(4): a*b*c+c*d+b*d+a*d
 P384(8): !c*!d+a*d+!b*c+!a*b
 P385(7): c*d+a*!c+!b*c+!a*b
 P386(8): !a*!d+c*d+a*d+b*!c+!b*c
 P387(7): a*d+b*!c+!b*c+!a*c
 P390(8): !a*!b*!d+a*b*!c+b*d+a*d+!b*c+!a*c
 P391(7): a*b*!c+b*d+a*d+!b*c+!a*c
 P392(7): !b*!d+c*d+a*d+!a*b
 P393(6): b*d+!b*c+a*!b+!a*b
 P394(7): !a*!d+b*d+a*d+!b*c
 P395(6): a*d+!b*c+!a*b
 P398(7): !a*!b*!d+b*d+a*d+!b*c+!a*c
 P399(6): b*d+a*d+!b*c+!a*c
 P406(8): !a*!b*!c*!d+a*b*!c+a*!b*c+!a*b*c+c*d+b*d+a*d
 P407(7): a*b*!c+a*!b*c+!a*b*c+c*d+b*d+a*d
 P408(8): !b*!c*!d+c*d+b*d+a*!b+!a*b
 P409(6): c*d+b*d+a*!b+!a*b
 P410(8): !a*!c*!d+a*!b*c+c*d+a*d+!a*b
 P411(6): a*!b*c+c*d+a*d+!a*b
 P414(8): !a*!b*!c*!d+a*!b*c+!a*b*c+c*d+b*d+a*d
 P415(6): a*!b*c+!a*b*c+c*d+b*d+a*d
 P424(8): !b*!c*!d+a*d+!a*c+!a*b
 P425(7): a*!b*!c+a*d+!a*c+!a*b
 P426(6): !a*!d+c*d+b*d+a*d
 P427(5): a*d+!a*c+!a*b
 P428(8): !b*!c*!d+b*d+a*d+!a*c
 P429(7): a*!b*!c+c*d+b*d+!a*c
 P430(7): !a*!b*!d+b*d+a*d+!a*c
 P431(5): b*d+a*d+!a*c
 P444(8): !b*!c*!d+!a*b*c+c*d+b*d+a*d
 P445(7): a*!b*!c+!a*b*c+c*d+b*d
 P446(8): !a*!b*!c*!d+!a*b*c+c*d+b*d+a*d
 P447(5): !a*b*c+c*d+b*d+a*d
 P488(8): !b*!c*!d+!a*b*!c+!a*!b*c+c*d+a*d
 P489(7): a*!b*!c+!a*b*!c+!a*!b*c+c*d+a*d
 P490(8): !a*!c*!d+!a*!b*c+b*d+a*d
 P491(7): !a*b*!c+!a*!b*c+c*d+a*d
 P494(7): !a*!b*!d+c*d+b*d+a*d
 P495(6): !a*!b*c+b*d+a*d
 P510(8): !a*!b*!c*!d+c*d+b*d+a*d
 P511(4): c*d+b*d+a*d
 P552(7): !b*!c*!d+c*d+b*d+b*c+!a
 P553(8): a*!b*!c*!d+c*d+b*d+!a*d+b*c+!a*c+!a*b
 P554(4): c*d+b*d+b*c+!a
 P555(4): c*d+b*d+!a*d+b*c+!a*c+!a*b
 P556(7): !b*!c*!d+c*d+b*d+b*c+!a*!b
 P557(8): a*!b*!c*!d+c*d+b*d+!a*d+b*c+!a*c
 P558(5): c*d+b*d+b*c+!a*!b
 P559(4): c*d+b*d+!a*d+b*c+!a*c
 P572(7): !b*!c*!d+c*d+b*d+!a*d+b*c
 P573(8): a*!b*!c*!d+c*d+b*d+!a*d+b*c
 P574(6): !a*!b*!c+c*d+b*d+b*c
 P575(4): c*d+b*d+!a*d+b*c
 P576(8): !c*!d+!a*d+!b*c+a*b
 P577(8): a*!d+c*d+!a*d+b*!c+!b*c
 P578(7): c*d+!a*!c+!b*c+a*b
 P579(7): !a*d+b*!c+!b*c+a*c
 P582(6): b*d+!b*c+!a*!b+a*b
 P583(6): !a*d+!b*c+a*b
 P584(8): !b*!d+c*d+b*d+!a*!c+a*c
 P585(8): a*!b*!d+!a*b*!c+b*d+!a*d+!b*c+a*c
 P586(7): b*d+!a*!c+!b*c+a*c
 P587(7): !a*b*!c+b*d+!a*d+!b*c+a*c
 P590(6): b*d+a*c+!a*!b
 P591(6): b*d+!a*d+!b*c+a*c
 P596(8): !b*!c*!d+!a*d+a*c+a*b
 P597(6): a*!d+c*d+b*d+!a*d
 P598(7): !a*!b*!c+!a*d+a*c+a*b
 P599(5): !a*d+a*c+a*b
 P600(8): a*!b*!d+c*d+b*d+!a*!c+a*c
 P601(8): a*!b*!d+!a*b*!c+b*d+!a*d+a*c
 P602(6): c*d+b*d+!a*!c+a*c
 P603(6): !a*b*!c+b*d+!a*d+a*c
 P604(8): !b*!c*!d+b*d+!a*d+a*c
 P605(7): a*!b*!d+b*d+!a*d+a*c
 P606(7): !a*!b*!c+c*d+b*d+a*c
 P607(5): b*d+!a*d+a*c
 P616(8): !b*!c*!d+a*b*c+c*d+b*d+!a*!c+!a*!b
 P617(8): a*!b*!c*!d+!a*b*!c+!a*!b*c+a*b*c+c*d+b*d+!a*d
 P618(7): a*b*c+c*d+b*d+!a*!c+!a*!b
 P619(7): !a*b*!c+!a*!b*c+a*b*c+c*d+b*d+!a*d
 P620(8): !b*!c*!d+a*b*c+c*d+b*d+!a*!b
 P621(8): a*!b*!c*!d+!a*!b*c+a*b*c+c*d+b*d+!a*d
 P622(6): a*b*c+c*d+b*d+!a*!b
 P623(6): !a*!b*c+a*b*c+c*d+b*d+!a*d
 P636(8): !b*!c*!d+a*b*c+c*d+b*d+!a*d
 P637(8): a*!b*!c*!d+a*b*c+c*d+b*d+!a*d
 P638(7): !a*!b*!c+a*b*c+c*d+b*d
 P639(5): a*b*c+c*d+b*d+!a*d
 P640(7): !c*!d+b*d+!b*c+!a
 P641(8): a*!c*!d+b*d+!a*d+!b*c+!a*b
 P642(6): c*d+b*!c+!b*c+!a
 P643(6): c*d+!a*d+b*!c+!b*c+!a*c
 P644(8): a*!c*!d+b*d+!b*c+!a*c+!a*!b
 P645(8): a*!c*!d+b*d+!a*d+!b*c+!a*c
 P646(7): a*b*!c+b*d+!b*c+!a*c+!a*!b
 P647(7): a*b*!c+c*d+!a*d+!b*c+!a*c
 P648(6): !b*!d+c*d+b*d+!a
 P649(7): a*!b*!d+b*d+!a*d+!b*c+!a*b
 P650(5): b*d+!b*c+!a
 P651(5): b*d+!a*d+!b*c+!a*b
 P652(6): !b*!d+c*d+b*d+!a*d+!a*c
 P653(7): a*!b*!d+c*d+b*d+!a*d+!a*c
 P654(5): b*d+!b*c+!a*c+!a*!b
 P655(5): b*d+!a*d+!b*c+!a*c
 P660(8): !b*!c*!d+a*b*!c+a*!b*c+!a*b*c+c*d+!a*d
 P661(8): a*!c*!d+a*!b*c+!a*b*c+b*d+!a*d
 P662(7): !a*!b*!c+a*b*!c+a*!b*c+!a*b*c+c*d+!a*d
 P663(7): a*b*!c+a*!b*c+!a*b*c+c*d+!a*d
 P664(8): a*!b*!d+c*d+b*d+!a*!c+!a*b
 P665(7): a*!b*!d+c*d+b*d+!a*d+!a*b
 P666(7): a*!b*c+c*d+b*d+!a*!c+!a*b
 P667(6): a*!b*c+b*d+!a*d+!a*b
 P668(8): !b*!c*!d+a*!b*c+!a*b*c+b*d+!a*d
 P669(7): a*!b*!d+!a*b*c+c*d+b*d+!a*d
 P670(7): !a*!b*!c+a*!b*c+!a*b*c+c*d+b*d
 P671(6): a*!b*c+!a*b*c+b*d+!a*d
 P680(7): !b*!c*!d+c*d+b*d+!a
 P681(8): a*!b*!c*!d+c*d+b*d+!a*d+!a*c+!a*b
 P682(4): c*d+b*d+!a
 P683(4): c*d+b*d+!a*d+!a*c+!a*b
 P684(7): !b*!c*!d+c*d+b*d+!a*d+!a*c
 P685(8): a*!b*!c*!d+c*d+b*d+!a*d+!a*c
 P686(5): c*d+b*d+!a*c+!a*!b
 P687(4): c*d+b*d+!a*d+!a*c
 P700(7): !b*!c*!d+!a*b*c+c*d+b*d+!a*d
 P701(8): a*!b*!c*!d+!a*b*c+c*d+b*d+!a*d
 P702(6): !a*!b*!c+!a*b*c+c*d+b*d
 P703(4): !a*b*c+c*d+b*d+!a*d
 P704(7): !c*!d+b*d+!a*d+!b*c
 P705(8): a*!c*!d+c*d+!a*d+b*!c+!b*c
 P706(6): c*d+b*!c+!a*!c+!b*c
 P707(6): c*d+!a*d+b*!c+!b*c
 P708(8): a*!c*!d+b*d+!b*c+!a*!b
 P709(8): a*!c*!d+b*d+!a*d+!b*c
 P710(7): a*b*!c+b*d+!b*c+!a*!b
 P711(7): a*b*!c+c*d+!a*d+!b*c
 P712(7): !b*!d+c*d+b*d+!a*!c
 P713(8): a*!b*!d+!a*b*!c+b*d+!a*d+!b*c
 P714(6): b*d+!a*!c+!b*c
 P715(6): !a*b*!c+b*d+!a*d+!b*c
 P716(6): !b*!d+c*d+b*d+!a*d
 P717(7): a*!b*!d+b*d+!a*d+!b*c
 P718(5): b*d+!b*c+!a*!b
 P719(5): b*d+!a*d+!b*c
 P724(8): !b*!c*!d+a*b*!c+a*!b*c+c*d+!a*d
 P725(8): a*!c*!d+a*!b*c+b*d+!a*d
 P726(7): !a*!b*!c+a*b*!c+a*!b*c+c*d+!a*d
 P727(7): a*b*!c+a*!b*c+c*d+!a*d
 P728(8): a*!b*!d+c*d+b*d+!a*!c
 P729(8): a*!b*!d+!a*b*!c+c*d+b*d+!a*d
 P730(7): a*!b*c+c*d+b*d+!a*!c
 P731(7): !a*b*!c+a*!b*c+b*d+!a*d
 P732(8): !b*!c*!d+a*!b*c+b*d+!a*d
 P733(7): a*!b*!d+c*d+b*d+!a*d
 P734(7): !a*!b*!c+a*!b*c+c*d+b*d
 P735(6): a*!b*c+b*d+!a*d
 P744(7): !b*!c*!d+c*d+b*d+!a*!c+!a*!b
 P745(8): a*!b*!c*!d+!a*b*!c+!a*!b*c+c*d+b*d+!a*d
 P746(6): c*d+b*d+!a*!c+!a*!b
 P747(6): !a*b*!c+!a*!b*c+c*d+b*d+!a*d
 P748(7): !b*!c*!d+c*d+b*d+!a*!b
 P749(8): a*!b*!c*!d+!a*!b*c+c*d+b*d+!a*d
 P750(5): c*d+b*d+!a*!b
 P751(5): !a*!b*c+c*d+b*d+!a*d
 P764(7): !b*!c*!d+c*d+b*d+!a*d
 P765(8): a*!b*!c*!d+c*d+b*d+!a*d
 P766(6): !a*!b*!c+c*d+b*d
 P767(4): c*d+b*d+!a*d
 P828(6): !b*!c*!d+c*d+b*d+b*c
 P829(7): a*!b*!c*!d+c*d+b*d+b*c
 P830(7): !a*!b*!c*!d+c*d+b*d+b*c
 P831(3): c*d+b*d+b*c
 P854(8): !a*!b*!c*!d+c*d+b*d+a*c+a*b
 P855(4): c*d+b*d+a*c+a*b
 P856(8): !b*!c*!d+!a*b*!c+c*d+b*d+a*c
 P857(8): a*!b*!d+!a*b*!c+c*d+b*d+a*c
 P858(7): !a*!c*!d+c*d+b*d+a*c
 P859(6): !a*b*!c+c*d+b*d+a*c
 P862(8): !a*!b*!c*!d+c*d+b*d+a*c
 P863(4): c*d+b*d+a*c
 P872(8): !b*!c*!d+!a*b*!c+!a*!b*c+a*b*c+c*d+b*d
 P873(8): a*!b*!c*!d+!a*b*!c+!a*!b*c+a*b*c+c*d+b*d
 P874(8): !a*!c*!d+!a*!b*c+a*b*c+c*d+b*d
 P875(7): !a*b*!c+!a*!b*c+a*b*c+c*d+b*d
 P876(8): !b*!c*!d+!a*!b*c+a*b*c+c*d+b*d
 P877(8): a*!b*!c*!d+!a*!b*c+a*b*c+c*d+b*d
 P878(7): !a*!b*!d+a*b*c+c*d+b*d
 P879(6): !a*!b*c+a*b*c+c*d+b*d
 P892(7): !b*!c*!d+a*b*c+c*d+b*d
 P893(7): a*!b*!c*!d+a*b*c+c*d+b*d
 P894(8): !a*!b*!c*!d+a*b*c+c*d+b*d
 P895(4): a*b*c+c*d+b*d
 P896(7): !c*!d+!a*!d+b*d+!b*c
 P897(8): a*!c*!d+b*d+!b*c+!a*b
 P898(7): !a*!d+c*d+b*!c+!b*c
 P899(6): c*d+b*!c+!b*c+!a*c
 P900(8): a*b*!c+!b*!d+c*d+b*d+!a*c
 P901(8): a*!c*!d+b*d+!b*c+!a*c
 P902(8): !a*!b*!d+a*b*!c+b*d+!b*c+!a*c
 P903(7): a*b*!c+b*d+!b*c+!a*c
 P904(6): !b*!d+!a*!d+c*d+b*d
 P905(7): a*!b*!d+b*d+!b*c+!a*b
 P906(6): !a*!d+b*d+!b*c
 P907(5): b*d+!b*c+!a*b
 P908(6): !b*!d+c*d+b*d+!a*c
 P909(7): a*!b*!d+c*d+b*d+!a*c
 P910(6): !a*!b*!d+b*d+!b*c+!a*c
 P911(5): b*d+!b*c+!a*c
 P916(8): !b*!c*!d+a*b*!c+a*!b*c+!a*b*c+c*d+b*d
 P917(8): a*!c*!d+a*!b*c+!a*b*c+c*d+b*d
 P918(8): !a*!b*!c*!d+a*b*!c+a*!b*c+!a*b*c+c*d+b*d
 P919(7): a*b*!c+a*!b*c+!a*b*c+c*d+b*d
 P920(8): !b*!c*!d+a*!b*c+c*d+b*d+!a*b
 P921(7): a*!b*!d+c*d+b*d+!a*b
 P922(8): !a*!c*!d+a*!b*c+c*d+b*d+!a*b
 P923(6): a*!b*c+c*d+b*d+!a*b
 P924(8): !b*!c*!d+a*!b*c+!a*b*c+c*d+b*d
 P925(7): a*!b*!d+!a*b*c+c*d+b*d
 P926(8): !a*!b*!c*!d+a*!b*c+!a*b*c+c*d+b*d
 P927(6): a*!b*c+!a*b*c+c*d+b*d
 P936(7): !b*!c*!d+!a*!d+c*d+b*d
 P937(8): a*!b*!c*!d+c*d+b*d+!a*c+!a*b
 P938(5): !a*!d+c*d+b*d
 P939(4): c*d+b*d+!a*c+!a*b
 P940(7): !b*!c*!d+c*d+b*d+!a*c
 P941(8): a*!b*!c*!d+c*d+b*d+!a*c
 P942(6): !a*!b*!d+c*d+b*d+!a*c
 P943(4): c*d+b*d+!a*c
 P956(7): !b*!c*!d+!a*b*c+c*d+b*d
 P957(8): a*!b*!c*!d+!a*b*c+c*d+b*d
 P958(7): !a*!b*!c*!d+!a*b*c+c*d+b*d
 P959(4): !a*b*c+c*d+b*d
 P960(6): !c*!d+b*d+!b*c
 P961(7): a*!c*!d+c*d+b*!c+!b*c
 P962(7): !a*!c*!d+c*d+b*!c+!b*c
 P963(5): c*d+b*!c+!b*c
 P964(7): a*b*!c+!b*!d+c*d+b*d
 P965(7): a*!c*!d+b*d+!b*c
 P966(8): !a*!b*!d+a*b*!c+b*d+!b*c
 P967(6): a*b*!c+b*d+!b*c
 P968(7): !a*b*!c+!b*!d+c*d+b*d
 P969(8): a*!b*!d+!a*b*!c+b*d+!b*c
 P970(7): !a*!c*!d+b*d+!b*c
 P971(6): !a*b*!c+b*d+!b*c
 P972(5): !b*!d+c*d+b*d
 P973(6): a*!b*!d+b*d+!b*c
 P974(6): !a*!b*!d+b*d+!b*c
 P975(4): b*d+!b*c
 P980(7): !b*!c*!d+a*b*!c+a*!b*c+c*d+b*d
 P981(7): a*!c*!d+a*!b*c+c*d+b*d
 P982(8): !a*!b*!c*!d+a*b*!c+a*!b*c+c*d+b*d
 P983(6): a*b*!c+a*!b*c+c*d+b*d
 P984(8): !b*!c*!d+!a*b*!c+a*!b*c+c*d+b*d
 P985(8): a*!b*!d+!a*b*!c+c*d+b*d
 P986(8): !a*!c*!d+a*!b*c+c*d+b*d
 P987(7): !a*b*!c+a*!b*c+c*d+b*d
 P988(7): !b*!c*!d+a*!b*c+c*d+b*d
 P989(6): a*!b*!d+c*d+b*d
 P990(8): !a*!b*!c*!d+a*!b*c+c*d+b*d
 P991(5): a*!b*c+c*d+b*d
 P1000(7): !b*!c*!d+!a*b*!c+!a*!b*c+c*d+b*d
 P1001(8): a*!b*!c*!d+!a*b*!c+!a*!b*c+c*d+b*d
 P1002(7): !a*!c*!d+!a*!b*c+c*d+b*d
 P1003(6): !a*b*!c+!a*!b*c+c*d+b*d
 P1004(7): !b*!c*!d+!a*!b*c+c*d+b*d
 P1005(8): a*!b*!c*!d+!a*!b*c+c*d+b*d
 P1006(6): !a*!b*!d+c*d+b*d
 P1007(5): !a*!b*c+c*d+b*d
 P1020(6): !b*!c*!d+c*d+b*d
 P1021(7): a*!b*!c*!d+c*d+b*d
 P1022(7): !a*!b*!c*!d+c*d+b*d
 P1023(3): c*d+b*d
 P1632(8): !c*!d+c*d+!a*!b+a*b
 P1633(8): b*!c*!d+a*!c*!d+!a*!b*d+!a*!b*c+c*d+a*b
 P1634(8): b*!c*!d+c*d+!a*!b+a*b
 P1635(8): b*!c*!d+!a*!b*d+!a*!b*c+c*d+a*b
 P1638(6): c*d+!a*!b+a*b
 P1639(6): !a*!b*d+!a*!b*c+c*d+a*b
 P1640(8): !b*!c*!d+!a*!c*!d+a*b*d+a*b*c+c*d+!a*!b
 P1641(8): a*!b*!c*!d+!a*b*!c*!d+!a*!b*d+a*b*d+!a*!b*c+a*b*c+c*d
 P1642(8): !a*!c*!d+a*b*d+a*b*c+c*d+!a*!b
 P1643(8): !a*b*!c*!d+!a*!b*d+a*b*d+!a*!b*c+a*b*c+c*d
 P1646(6): a*b*d+a*b*c+c*d+!a*!b
 P1647(6): !a*!b*d+a*b*d+!a*!b*c+a*b*c+c*d
 P1650(8): !a*!c*!d+!a*!b*d+c*d+a*b
 P1651(8): b*!c*!d+!a*!b*d+c*d+a*b
 P1654(7): !a*!b*!c+c*d+a*b
 P1655(6): !a*!b*d+c*d+a*b
 P1656(8): !b*!c*!d+!a*!c*!d+!a*!b*d+a*b*d+a*b*c+c*d
 P1657(8): a*!b*!c*!d+!a*b*!c*!d+!a*!b*d+a*b*d+a*b*c+c*d
 P1658(8): !a*!c*!d+!a*!b*d+a*b*d+a*b*c+c*d
 P1659(8): !a*b*!c*!d+!a*!b*d+a*b*d+a*b*c+c*d
 P1662(7): a*b*d+!a*!b*!c+a*b*c+c*d
 P1663(6): !a*!b*d+a*b*d+a*b*c+c*d
 P1664(8): a*b*!c+!b*!d+!a*!d+c*d+!a*!b
 P1665(8): a*!c*!d+!a*b*!d+!a*!b*d+a*b*d+c*d+!b*c
 P1666(8): a*b*!c+!a*!d+c*d+!b*c+!a*!b
 P1667(8): b*!c*!d+!a*!b*d+a*b*d+!b*c+!a*c
 P1670(7): a*b*!c+c*d+!b*c+!a*c+!a*!b
 P1671(7): !a*!b*d+a*b*!c+c*d+!b*c+!a*c
 P1672(7): a*b*d+!b*!d+!a*!d+c*d+!a*!b
 P1673(7): a*!b*!d+!a*b*!d+!a*!b*d+a*b*d+c*d+!b*c
 P1674(7): a*b*d+!a*!d+c*d+!b*c+!a*!b
 P1675(7): !a*b*!d+!a*!b*d+a*b*d+c*d+!b*c
 P1678(6): a*b*d+!b*c+!a*c+!a*!b
 P1679(6): !a*!b*d+a*b*d+!b*c+!a*c
 P1680(8): !a*!b*d+a*b*d+a*!b*c+!a*b*c+!c*!d
 P1681(8): a*!c*!d+!a*b*!d+!a*!b*d+a*b*d+a*!b*c+c*d
 P1682(8): !a*!c*!d+!a*!b*d+a*b*!c+a*!b*c+!a*b*c+c*d
 P1683(8): b*!c*!d+!a*!b*d+a*b*d+a*!b*c+!a*b*c
 P1686(7): !a*!b*!c+a*b*!c+a*!b*c+!a*b*c+c*d
 P1687(7): !a*!b*d+a*b*!c+a*!b*c+!a*b*c+c*d
 P1688(8): !b*!c*!d+!a*b*!d+!a*!b*d+a*b*d+a*!b*c+c*d
 P1689(7): a*!b*!d+!a*b*!d+!a*!b*d+a*b*d+c*d
 P1690(8): !a*!c*!d+!a*!b*d+a*b*d+a*!b*c+!a*b*c
 P1691(7): !a*b*!d+!a*!b*d+a*b*d+a*!b*c+c*d
 P1694(7): a*b*d+!a*!b*!c+a*!b*c+!a*b*c+c*d
 P1695(6): !a*!b*d+a*b*d+a*!b*c+!a*b*c
 P1696(8): a*b*d+!c*!d+!a*!d+c*d+!a*!b
 P1697(8): a*!c*!d+!a*b*!d+!a*!b*d+a*b*d+c*d+!a*c
 P1698(8): a*b*!c+!a*!d+c*d+!a*!b
 P1699(8): b*!c*!d+!a*!b*d+a*b*d+c*d+!a*c
 P1700(8): a*!c*!d+a*b*d+c*d+!a*c+!a*!b
 P1701(8): a*!c*!d+!a*!b*d+a*b*d+c*d+!a*c
 P1702(7): a*b*!c+c*d+!a*c+!a*!b
 P1703(7): !a*!b*d+a*b*!c+c*d+!a*c
 P1704(8): !b*!c*!d+a*b*d+!a*!d+c*d+!a*!b
 P1705(8): a*!b*!c*!d+!a*b*!d+!a*!b*d+a*b*d+c*d+!a*c
 P1706(7): a*b*d+!a*!d+c*d+!a*!b
 P1707(7): !a*b*!d+!a*!b*d+a*b*d+c*d+!a*c
 P1708(8): !b*!c*!d+a*b*d+c*d+!a*c+!a*!b
 P1709(8): a*!b*!c*!d+!a*!b*d+a*b*d+c*d+!a*c
 P1710(6): a*b*d+c*d+!a*c+!a*!b
 P1711(6): !a*!b*d+a*b*d+c*d+!a*c
 P1712(8): !a*b*!d+!a*!b*d+a*b*d+!c*!d+c*d
 P1713(8): a*!c*!d+!a*b*!d+!a*!b*d+a*b*d+c*d
 P1714(8): !a*!c*!d+!a*b*!d+!a*!b*d+a*b*!c+c*d
 P1715(8): b*!c*!d+!a*b*!d+!a*!b*d+a*b*d+c*d
 P1716(8): !b*!c*!d+!a*!b*d+a*b*!c+!a*b*c+c*d
 P1717(8): a*!c*!d+!a*!b*d+a*b*d+!a*b*c+c*d
 P1718(7): !a*!b*!c+a*b*!c+!a*b*c+c*d
 P1719(7): !a*!b*d+a*b*!c+!a*b*c+c*d
 P1720(8): !b*!c*!d+!a*b*!d+!a*!b*d+a*b*d+c*d
 P1721(8): a*!b*!c*!d+!a*b*!d+!a*!b*d+a*b*d+c*d
 P1722(8): !a*!c*!d+!a*b*!d+!a*!b*d+a*b*d+c*d
 P1723(7): !a*b*!d+!a*!b*d+a*b*d+c*d
 P1724(8): !b*!c*!d+!a*!b*d+a*b*d+!a*b*c+c*d
 P1725(8): a*!b*!c*!d+!a*!b*d+a*b*d+!a*b*c+c*d
 P1726(7): a*b*d+!a*!b*!c+!a*b*c+c*d
 P1727(6): !a*!b*d+a*b*d+!a*b*c+c*d
 P1760(8): a*b*d+!c*!d+c*d+!a*!b
 P1761(8): b*!c*!d+a*!c*!d+!a*!b*d+a*b*d+!a*!b*c+c*d
 P1762(8): b*!c*!d+a*b*d+c*d+!a*!b
 P1763(8): b*!c*!d+!a*!b*d+a*b*d+!a*!b*c+c*d
 P1766(7): a*b*!c+c*d+!a*!b
 P1767(7): !a*!b*d+a*b*!c+!a*!b*c+c*d
 P1768(8): !b*!c*!d+!a*!c*!d+a*b*d+c*d+!a*!b
 P1769(8): a*!b*!c*!d+!a*b*!c*!d+!a*!b*d+a*b*d+!a*!b*c+c*d
 P1770(8): !a*!c*!d+a*b*d+c*d+!a*!b
 P1771(8): !a*b*!c*!d+!a*!b*d+a*b*d+!a*!b*c+c*d
 P1774(6): a*b*d+c*d+!a*!b
 P1775(6): !a*!b*d+a*b*d+!a*!b*c+c*d
 P1776(8): !a*!b*d+a*b*d+!c*!d+c*d
